id,radius,length,pd_radius,pd_length,sld,sld_solvent,model_scale,model_abs
cyl_000000,94.024399,300.110836,0.039017,0.027566,1.643748,1.0,1.0,0.0
cyl_000001,116.996194,803.890961,0.04939,0.063988,6.556736,1.0,1.0,0.0
cyl_000002,52.774327,700.637445,0.157854,0.23512,1.843783,1.0,1.0,0.0
cyl_000003,90.211514,345.205794,0.200017,0.195002,7.469889,1.0,1.0,0.0
cyl_000004,111.314553,414.78544,0.186012,0.106963,4.786471,1.0,1.0,0.0
cyl_000005,186.193695,266.0578,0.169837,0.268145,7.216766,1.0,1.0,0.0
cyl_000006,42.938445,398.544573,0.034421,0.007459,5.841979,1.0,1.0,0.0
cyl_000007,37.483874,304.760013,0.272001,0.008902,5.598114,1.0,1.0,0.0
cyl_000008,22.453464,622.850783,0.056127,0.227541,2.273479,1.0,1.0,0.0
cyl_000009,75.431109,563.309916,0.229534,0.097768,7.995202,1.0,1.0,0.0
cyl_000010,21.760949,255.960454,0.138958,0.222978,4.96102,1.0,1.0,0.0
cyl_000011,29.87267,799.111143,0.150455,0.227638,4.568808,1.0,1.0,0.0
cyl_000012,156.789535,209.966828,0.193694,0.175613,1.916366,1.0,1.0,0.0
cyl_000013,93.093323,291.22341,0.100729,0.016119,4.695935,1.0,1.0,0.0
cyl_000014,30.668882,445.391681,0.285275,0.122474,6.345253,1.0,1.0,0.0
cyl_000015,198.020284,446.324099,0.052263,0.250637,1.675134,1.0,1.0,0.0
cyl_000016,31.468925,678.907763,0.064859,0.007338,7.232762,1.0,1.0,0.0
cyl_000017,32.284253,290.559717,0.227668,0.071333,2.981135,1.0,1.0,0.0
cyl_000018,44.43116,451.25178,0.086463,0.070683,2.210642,1.0,1.0,0.0
cyl_000019,94.485216,265.355762,0.008274,0.183749,6.045982,1.0,1.0,0.0
cyl_000020,73.997318,301.931945,0.015014,0.07777,3.535192,1.0,1.0,0.0
cyl_000021,30.242951,713.759908,0.172823,0.0806,3.838432,1.0,1.0,0.0
cyl_000022,46.837782,718.92675,0.161672,0.249823,3.698093,1.0,1.0,0.0
cyl_000023,42.611484,931.315409,0.173228,0.076197,7.65718,1.0,1.0,0.0
cyl_000024,90.681608,503.012805,0.226054,0.067325,3.803434,1.0,1.0,0.0
cyl_000025,82.305822,272.855567,0.002934,0.211195,6.846593,1.0,1.0,0.0
cyl_000026,172.393871,666.179518,0.256485,0.0821,5.570761,1.0,1.0,0.0
cyl_000027,102.443725,310.333106,0.079393,0.127232,6.516322,1.0,1.0,0.0
cyl_000028,75.327228,775.250384,0.074977,0.096961,3.638488,1.0,1.0,0.0
cyl_000029,122.069015,759.479736,0.284755,0.021533,2.648505,1.0,1.0,0.0
cyl_000030,184.32458,475.826694,0.191777,0.168445,7.387935,1.0,1.0,0.0
cyl_000031,36.797477,292.551066,0.015383,0.115948,2.838812,1.0,1.0,0.0
cyl_000032,165.66967,398.611912,0.007445,0.031687,6.580473,1.0,1.0,0.0
cyl_000033,81.189915,758.104205,0.053846,0.097336,6.380174,1.0,1.0,0.0
cyl_000034,91.365103,795.470788,0.096193,0.031896,4.304588,1.0,1.0,0.0
cyl_000035,131.244608,507.160132,0.23094,0.165289,3.005475,1.0,1.0,0.0
cyl_000036,28.298539,287.12512,0.285392,0.053947,7.979757,1.0,1.0,0.0
cyl_000037,171.785033,968.620738,0.013371,0.095952,1.545271,1.0,1.0,0.0
cyl_000038,68.044264,484.366113,0.066809,0.026559,3.776239,1.0,1.0,0.0
cyl_000039,126.622947,650.724028,0.025914,0.042346,1.970406,1.0,1.0,0.0
cyl_000040,32.588577,725.840179,0.260519,0.275348,4.472706,1.0,1.0,0.0
cyl_000041,95.851371,633.029642,0.203892,0.280837,1.504685,1.0,1.0,0.0
cyl_000042,81.833635,264.464956,0.251854,0.066928,3.54286,1.0,1.0,0.0
cyl_000043,23.408164,221.464478,0.072338,0.077361,7.949661,1.0,1.0,0.0
cyl_000044,43.405895,574.348668,0.199829,0.087513,2.462477,1.0,1.0,0.0
cyl_000045,123.468128,638.337052,0.299498,0.059484,7.310678,1.0,1.0,0.0
cyl_000046,145.563569,511.857838,0.211036,0.038424,3.999642,1.0,1.0,0.0
cyl_000047,30.130636,443.582635,0.164674,0.226995,5.84543,1.0,1.0,0.0
cyl_000048,164.141752,297.409855,0.193454,0.100635,6.643052,1.0,1.0,0.0
cyl_000049,38.612524,514.674048,0.18192,0.05606,3.412522,1.0,1.0,0.0
cyl_000050,29.093889,330.536662,0.198728,0.178371,3.467955,1.0,1.0,0.0
cyl_000051,43.00433,450.472763,0.157133,0.05303,5.324803,1.0,1.0,0.0
cyl_000052,138.564664,428.076118,0.112678,0.027144,0.890513,1.0,1.0,0.0
cyl_000053,139.441524,683.229126,0.277231,0.167737,2.073297,1.0,1.0,0.0
cyl_000054,95.599652,657.12,0.113931,0.259554,4.74495,1.0,1.0,0.0
cyl_000055,44.32283,768.739953,0.061878,0.125097,4.44861,1.0,1.0,0.0
cyl_000056,39.00866,880.527009,0.162576,0.25496,7.20337,1.0,1.0,0.0
cyl_000057,44.999685,585.132356,0.137485,0.13928,6.034039,1.0,1.0,0.0
cyl_000058,62.819933,898.780071,0.187726,0.095282,4.231905,1.0,1.0,0.0
cyl_000059,147.759039,326.373721,0.225703,0.182044,2.533613,1.0,1.0,0.0
cyl_000060,54.054658,392.934295,0.293409,0.082621,1.271066,1.0,1.0,0.0
cyl_000061,88.661306,203.35217,0.091678,0.291994,6.651353,1.0,1.0,0.0
cyl_000062,24.224246,547.87007,0.176236,0.242583,0.65266,1.0,1.0,0.0
cyl_000063,142.873163,273.347235,0.233243,0.14757,3.734815,1.0,1.0,0.0
cyl_000064,25.347617,724.537107,0.068668,0.056965,5.608369,1.0,1.0,0.0
cyl_000065,50.043493,232.233859,0.251269,0.269581,2.970854,1.0,1.0,0.0
cyl_000066,99.070952,581.741998,0.136707,0.221962,2.537622,1.0,1.0,0.0
cyl_000067,41.502199,774.572201,0.276422,0.232323,3.745032,1.0,1.0,0.0
cyl_000068,158.31958,249.783447,0.026522,0.067965,1.146932,1.0,1.0,0.0
cyl_000069,93.709242,387.812027,0.133168,0.091373,1.679534,1.0,1.0,0.0
cyl_000070,141.367113,203.971225,0.250977,0.231888,6.803648,1.0,1.0,0.0
cyl_000071,69.718564,513.122381,0.126622,0.297316,4.258219,1.0,1.0,0.0
cyl_000072,118.936635,590.704255,0.033906,0.182805,2.840174,1.0,1.0,0.0
cyl_000073,41.801073,415.97544,0.078061,0.239556,4.347573,1.0,1.0,0.0
cyl_000074,179.029037,461.729302,0.10547,0.003661,4.915685,1.0,1.0,0.0
cyl_000075,131.226622,292.138098,0.053478,0.042137,6.570721,1.0,1.0,0.0
